"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","83/2740","157/9446",0.528662420382166,1.82253475289414,6.64299750201101,2.30626145962312e-10,1.60054545297844e-08,9.66202169400001e-09,"5590/10207/7482/23418/7042/56288/29119/9231/657/8945/6934/55844/7003/595/10413/329/5519/81029/7004/5501/26524/84962/60485/122786/64398/4088/999/7531/2535/7473/4087/4092/4089/126374/7040/10971/1496/83439/8324/3397/7529/84612/3689/4771/7533/7048/1499/8994/7474/2932/25937/5584/1739/5522/174/166824/658/51176/4086/324/6932/1495/2246/5521/23286/654/896/653/1490/79981/8321/5054/51384/5520/6591/392255/6788/7534/8323/4609/7046/286204/154796",83
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","86/2740","174/9446",0.494252873563218,1.70390972397013,5.99031093143259,8.33415372539267e-09,3.61493917838907e-07,2.18223235704361e-07,"3725/4919/7482/81839/27101/59352/5599/22943/818/84445/8945/6934/1488/283106/8061/4041/595/4316/81029/4040/144165/11197/8549/122011/23002/440193/4088/7090/1387/5579/6477/5176/51701/50964/2535/7473/5578/4089/9475/83439/8324/1457/23236/5332/4773/164284/84133/5880/9978/1499/7474/166336/2932/79718/59343/5602/5530/27123/51176/817/1501/324/4163/6932/1452/815/5601/5467/896/6885/84870/5879/6424/8321/51384/8454/5533/8323/4609/8840/7091/7088/4920/6907/2239/90665",86
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","96/2740","204/9446",0.470588235294118,1.6223271790468,5.74374774283167,2.74392075211437e-08,1.05793388998188e-06,6.38643543474573e-07,"5293/2475/3339/10451/7482/356/4660/7042/10000/3688/288/818/5328/355/51196/22800/960/595/5058/5962/23365/81029/3845/3709/1975/10818/4659/3479/5501/5829/7057/8826/3480/5579/2064/6774/2535/7473/3690/1277/406991/5578/4087/5605/7040/6237/9475/6382/6654/3685/8324/2066/2335/2817/6385/7074/7078/3708/5894/1499/7474/3693/22808/5291/3791/10855/287/817/2247/2549/3673/1839/815/3710/2099/5879/1956/8321/1278/858/857/4233/51384/6469/286/6383/8323/4609/5747/1514/5727/7099/7410/4478/2719/2316",96
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","47/2740","87/9446",0.540229885057471,1.86241295410689,5.16540837074576,8.10808366671118e-07,2.0096464516777e-05,1.21316439825227e-05,"5293/2475/3725/1647/7042/10000/5599/6934/1643/595/3845/2353/4088/4087/4089/5366/596/4616/5605/7040/6654/4436/2956/7039/83439/10018/5880/5894/7048/4292/1499/2932/5291/2069/5602/51176/1950/51426/4437/324/6932/5601/5879/5898/1956/4609/7046",47
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","147/2740","362/9446",0.406077348066298,1.39992942694681,4.95956482688546,9.66362337108788e-07,2.23551820651166e-05,1.34951652690982e-05,"2782/5293/2475/1969/3716/55970/23566/1435/4803/4170/117145/3570/356/3915/3918/2786/10000/3688/54541/5728/118788/55844/595/2249/2248/80310/5519/7450/3845/1975/4254/3479/2321/10161/1284/5529/7057/2252/22801/3480/23035/7531/146850/2064/3690/3675/1277/5578/3691/57521/284217/3909/23239/596/6794/5605/10971/6654/7039/10018/3694/3655/3685/1385/2066/2335/3667/1285/1293/598/7529/5105/3455/3454/1291/7533/5155/5894/3680/3913/9223/2932/3693/5523/5291/59345/2261/5522/5156/3791/2069/2250/6696/4790/1950/3558/2247/56034/7424/5618/3575/3673/2149/1946/3565/2246/5521/1436/5159/8817/5617/7148/896/1297/2309/3910/3908/6446/5879/3696/3569/9586/1956/9863/1021/1278/2056/5294/3912/4233/64764/4846/6009/285/5520/1978/3551/7534/284/4609/5747/3717/4915/3371/7099/2846/1288",147
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","123/2740","300/9446",0.41,1.41345255474453,4.6517374716244,4.24425230682715e-06,8.66326794393541e-05,5.2297598084124e-05,"1969/3925/3725/1647/55970/1435/5906/4803/3310/356/777/7042/11221/84451/10000/1326/5599/355/1850/22800/84867/2249/2248/5058/80310/775/3845/51135/5908/5801/4254/1848/3479/2321/2353/10125/2252/5607/5923/3480/23162/5579/5606/51701/57551/4763/2064/1845/9020/4215/5578/27092/5608/4616/5605/773/7040/5536/6237/25780/6654/5495/7039/9448/3554/3552/3553/785/51776/2066/6789/5880/5155/5894/7048/776/55799/22808/2122/3556/5062/2261/5156/3791/2069/2250/5602/5530/4790/1950/2247/56034/9693/7424/5921/4208/1946/2246/1436/5159/8817/5601/6722/6885/4217/23118/4216/6196/2768/5879/1956/4233/285/5533/3551/6788/284/4609/4915/7046/7186/6197/2316",123
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","67/2740","150/9446",0.446666666666667,1.53985888077859,4.26012468307148,2.91200484406976e-05,0.000360880600318645,0.00021785299397364,"5293/2475/1647/7482/6464/7042/10000/29119/6934/1643/4041/595/2249/2248/81029/4040/3845/122011/399694/2252/4088/999/2064/2535/7473/4087/4089/596/4616/5605/7040/6654/1496/83439/8324/5894/5915/7048/4292/1499/7474/2932/5291/2250/51176/1950/2247/2549/51426/324/6932/1495/2246/1452/8817/1871/1956/5243/8321/4233/51384/6469/1015/8323/4609/53358/7046",67
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","74/2740","170/9446",0.435294117647059,1.50065264061829,4.21041679937549,3.36777270931952e-05,0.000402971424184094,0.000243261985174078,"5293/2475/8289/1647/2949/7482/6464/4259/7042/10000/5728/6934/1643/4041/595/81029/4040/4257/3845/7296/122011/8110/399694/4088/3480/5579/29117/2535/7473/5578/4087/4089/4616/5605/8193/7040/6654/7039/83439/4780/8324/598/10587/6598/5894/7048/1499/6599/55193/7474/2932/5291/86/51176/2549/51426/324/6932/1452/1871/2939/2940/57492/55274/1956/8321/1021/4233/51384/8323/4609/6595/53358/7046",74
"Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","19/2740","29/9446",0.655172413793103,2.25867102944878,4.33909779075179,4.84134217875201e-05,0.000559981912008983,0.000338044594235667,"83937/7003/5058/10413/7004/26524/84962/60485/122786/126374/9770/4771/8994/25937/166824/79633/23286/79981/6788",19
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","61/2740","137/9446",0.445255474452555,1.53499387287549,4.03182863159275,7.29963483360989e-05,0.000767567662806858,0.00046335800060235,"5293/3725/1647/4803/4170/1520/4000/356/824/142/10000/5599/355/840/8772/1075/329/100506742/472/3845/3709/7846/317/143/2353/1512/597/9020/2081/5366/596/84823/4616/5605/10018/8837/7277/598/1522/1439/3708/5894/5291/8743/5602/5783/4790/1519/4001/5601/8737/3710/4217/1508/3551/1514/1515/7185/153090/6709/7186",61
